customer_first_name,customer_last_name,customer_age,customer_email,customer_country,customer_postal_code,customer_pet_type,customer_pet_name,customer_pet_breed,seller_first_name,seller_last_name,seller_email,seller_country,seller_postal_code,product_name,product_category,product_price,product_quantity,sale_date,sale_customer_id,sale_seller_id,sale_product_id,sale_quantity,sale_total_price,store_name,store_location,store_city,store_state,store_country,store_phone,store_email,pet_category,product_weight,product_color,product_size,product_brand,product_material,product_description,product_rating,product_reviews,product_release_date,product_expiry_date,supplier_name,supplier_contact,supplier_email,supplier_phone,supplier_address,supplier_city,supplier_country
Barron,Rawlyns,61,bmassingham0@army.mil,China,,cat,Priscella,Labrador Retriever,Bevan,Massingham,bmassingham0@answers.com,Indonesia,,Dog Food,Food,77.97,89,5/14/2021,1,1,1,4,487.7,Youopia,Suite 75,Xichehe,,United States,564-244-8660,bmassingham0@networkadvertising.org,Cats,13.4,Indigo,Medium,Skajo,Steel,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",2.1,97,10/19/2011,10/21/2028,Tagcat,Bevan Massingham,bmassingham0@unblog.fr,914-877-7062,Suite 25,Kletek,China
Ham,Knowller,78,cscudder1@time.com,Poland,73-115,bird,Dalenna,Labrador Retriever,Candide,Scudder,cscudder1@xing.com,Guatemala,04015,Cat Toy,Food,48.7,73,11/13/2021,2,2,2,10,484.61,Fivespan,Suite 1,Dolice,,Lithuania,596-788-0321,cscudder1@behance.net,Cats,36.3,Khaki,Small,Wordpedia,Plexiglass,Phasellus in felis. Donec semper sapien a libero. Nam dui.,2.4,37,4/17/2019,2/29/2028,Livetube,Candide Scudder,cscudder1@sbwire.com,863-319-5653,18th Floor,Santa Cruz Balanyá,Poland
Farleigh,Langley,71,vhuxter2@fotki.com,Poland,56-160,bird,Aldridge,Parakeet,Vinson,Huxter,vhuxter2@issuu.com,China,,Bird Cage,Food,77.75,39,12/4/2021,3,3,3,9,144.24,Avamba,Suite 69,Wińsko,,South Africa,148-671-4697,vhuxter2@marketwatch.com,Fish,14.6,Khaki,Medium,Riffpedia,Plexiglass,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",3.0,218,2/3/2010,9/3/2023,Photobug,Vinson Huxter,vhuxter2@slate.com,434-817-1275,Apt 96,Huangpu,Samoa
Shae,Debling,28,bbullier3@bravesites.com,Sri Lanka,81700,cat,Beverie,Labrador Retriever,Bald,Bullier,bbullier3@imageshack.us,China,,Dog Food,Food,54.18,68,8/10/2021,4,4,4,4,441.09,Feedfish,Suite 77,Weligama,,Cuba,190-352-7524,bbullier3@infoseek.co.jp,Fish,15.7,Indigo,Medium,Flipstorm,Granite,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",2.2,959,8/22/2019,3/29/2026,Janyx,Bald Bullier,bbullier3@dot.gov,515-756-7392,12th Floor,Chengzhong,Indonesia
Lay,Twatt,25,sedgar4@smugmug.com,Botswana,,bird,Sydelle,Siamese,Sydelle,Edgar,sedgar4@sogou.com,China,,Bird Cage,Cage,72.96,23,2/4/2021,5,5,5,6,72.27,Skimia,Apt 112,Mahalapye,,Philippines,364-385-6169,sedgar4@e-recht24.de,Reptiles,38.9,Maroon,Large,Zazio,Aluminum,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",4.5,130,12/9/2018,5/10/2030,Lazz,Sydelle Edgar,sedgar4@reverbnation.com,861-980-8811,Suite 79,Lanxi,China
Frankie,Waycott,58,dgrindell5@usa.gov,Russia,666733,dog,Harald,Parakeet,Doria,Grindell,dgrindell5@slideshare.net,United States,63136,Bird Cage,Food,32.07,1,12/16/2021,6,6,6,3,284.66,Meembee,Apt 170,Cherëmushki,,Brazil,228-304-9481,dgrindell5@stanford.edu,Cats,34.7,Mauv,Small,Quatz,Plexiglass,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",4.1,924,12/24/2017,7/11/2030,Izio,Doria Grindell,dgrindell5@1688.com,314-270-0484,3rd Floor,Saint Louis,Russia
Boote,Ricart,69,kelies6@si.edu,Dominican Republic,11902,dog,Angeline,Siamese,Kenny,Elies,kelies6@nba.com,Indonesia,,Cat Toy,Cage,78.21,56,7/26/2021,7,7,7,1,444.84,Riffpath,15th Floor,Moca,,Bosnia and Herzegovina,409-768-5793,kelies6@twitpic.com,Birds,36.9,Goldenrod,Small,Jaxworks,Rubber,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",2.2,216,8/12/2013,3/18/2028,Fanoodle,Kenny Elies,kelies6@hao123.com,627-887-5660,PO Box 84390,Somorpenang,Mexico
Mace,Parkman,22,tungaretti7@census.gov,Mexico,58095,cat,Rosalia,Siamese,Tabina,Ungaretti,tungaretti7@sphinn.com,Tajikistan,,Bird Cage,Cage,67.65,32,3/6/2021,8,8,8,2,127.97,Yakidoo,PO Box 846,Buenos Aires,MIC,Sweden,890-747-2590,tungaretti7@typepad.com,Dogs,25.2,Blue,Large,Aibox,Plastic,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",4.5,629,7/23/2015,5/31/2028,Thoughtblab,Tabina Ungaretti,tungaretti7@shareasale.com,325-667-3782,Room 922,Panjakent,Russia
Hobard,Rawnsley,74,mglason8@jugem.jp,China,,bird,Anna-diane,Siamese,May,Glason,mglason8@dion.ne.jp,Russia,694230,Dog Food,Toy,48.41,99,6/10/2021,9,9,9,4,207.12,Blogspan,3rd Floor,Xiushi,,France,511-490-3261,mglason8@liveinternet.ru,Cats,37.3,Turquoise,Small,Dabtype,Stone,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,2.7,18,7/9/2018,4/30/2025,Dabvine,May Glason,mglason8@so-net.ne.jp,459-716-0328,3rd Floor,Leonidovo,Philippines
Jorry,Cattenach,46,jpelerin9@cbsnews.com,Poland,34-146,cat,Peri,Labrador Retriever,Jorry,Pelerin,jpelerin9@nhs.uk,Indonesia,,Dog Food,Toy,7.39,86,1/21/2021,10,10,10,7,220.72,Skilith,PO Box 6826,Stryszów,,Italy,307-889-7819,jpelerin9@howstuffworks.com,Dogs,36.9,Blue,Small,Skimia,Granite,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",4.2,277,3/6/2014,5/30/2023,Linktype,Jorry Pelerin,jpelerin9@theguardian.com,540-290-6958,Suite 34,Sukadami,Indonesia
